Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jeremiah Robinson-Earl (32207172),Jeremiah Robinson-Earl,32207172,C/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,9.46
SF,Matt Ryan (32207174),Matt Ryan,32207174,SF/F/UTIL,3000,NOP@SAC 01/07/2024 06:00PM ET,NOP,15.35
PG,Brandon Williams (32207055),Brandon Williams,32207055,PG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,DAL,7.58
C,Richaun Holmes (32207058),Richaun Holmes,32207058,C/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,DAL,9.56
PF,Maxi Kleber (32207060),Maxi Kleber,32207060,PF/F/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,DAL,12.35
SG/SF,Troy Brown Jr. (32207177),Troy Brown Jr.,32207177,SG/SF/F/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,9.69
PG,Daishen Nix (32207182),Daishen Nix,32207182,PG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,2.04
PF/C,Leonard Miller (32207185),Leonard Miller,32207185,PF/C/F/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,4.94
SG,Wendell Moore Jr. (32207189),Wendell Moore Jr.,32207189,SG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,1.28
PG/SG,Shake Milton (32207192),Shake Milton,32207192,PG/SG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,9.97
SG,Josh Minott (32207196),Josh Minott,32207196,SG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,2.55
C,Luka Garza (32207199),Luka Garza,32207199,C/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,3.86
SG,Jaylen Clark (32207201),Jaylen Clark,32207201,SG/G/UTIL,3000,MIN@DAL 01/07/2024 07:30PM ET,MIN,0
PG,Theo Maledon (32207006),Theo Maledon,32207006,PG/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,PHX,10.29
PG,Saben Lee (32207009),Saben Lee,32207009,PG/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,PHX,7.62
C,Udoka Azubuike (32207012),Udoka Azubuike,32207012,C/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,PHX,7.97
SF/PF,Yuta Watanabe (32207014),Yuta Watanabe,32207014,SF/PF/F/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,PHX,8.44
PG,Damion Lee (32207018),Damion Lee,32207018,PG/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,PHX,0
PG,Jacob Gilyard (32207114),Jacob Gilyard,32207114,PG/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,11.02
PF,Gregory Jackson (32207117),Gregory Jackson,32207117,PF/F/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,4.06
SG,Shaquille Harrison (32207120),Shaquille Harrison,32207120,SG/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,2.17
SF/PF,Jake LaRavia (32207123),Jake LaRavia,32207123,SF/PF/F/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,6.09
SG/SF,John Konchar (32207127),John Konchar,32207127,SG/SF/F/G/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,13.21
C,Steven Adams (32207132),Steven Adams,32207132,C/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,0
C,Brandon Clarke (32207134),Brandon Clarke,32207134,C/UTIL,3000,MEM@PHX 01/07/2024 08:00PM ET,MEM,0
SG/SF,Jett Howard (32207021),Jett Howard,32207021,SG/SF/F/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ORL,2.67
SG,Kevon Harris (32207026),Kevon Harris,32207026,SG/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ORL,0
PG,Patty Mills (32207136),Patty Mills,32207136,PG/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,5.18
SG/SF,Wesley Matthews (32207139),Wesley Matthews,32207139,SG/SF/F/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,6.29
PG,Kobe Bufkin (32207144),Kobe Bufkin,32207144,PG/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,1.75
SG/SF,AJ Griffin (32207147),AJ Griffin,32207147,SG/SF/F/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,4.42
SG,Seth Lundy (32207152),Seth Lundy,32207152,SG/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,2.45
PG,Vit Krejci (32207155),Vit Krejci,32207155,PG/G/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,0
C,Mouhamed Gueye (32207158),Mouhamed Gueye,32207158,C/UTIL,3000,ATL@ORL 01/07/2024 06:00PM ET,ATL,1
SF/PF,Gui Santos (32206976),Gui Santos,32206976,SF/PF/F/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,GSW,6
SF,Jerome Robinson (32206980),Jerome Robinson,32206980,SF/F/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,GSW,1.88
PG,Lester Quinones (32206983),Lester Quinones,32206983,PG/G/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,GSW,3.31
C,Usman Garuba (32206986),Usman Garuba,32206986,C/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,GSW,1.75
C,Jontay Porter (32207063),Jontay Porter,32207063,C/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,10
SF/PF,Jalen McDaniels (32207065),Jalen McDaniels,32207065,SF/PF/F/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,6.06
PF/C,Thaddeus Young (32207069),Thaddeus Young,32207069,PF/C/F/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,4.89
PG,Javon Freeman-Liberty (32207073),Javon Freeman-Liberty,32207073,PG/G/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,0
SG/SF,Gradey Dick (32207076),Gradey Dick,32207076,SG/SF/F/G/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,6.71
PG,Markquis Nowell (32207081),Markquis Nowell,32207081,PG/G/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,9.5
SG/SF,Garrett Temple (32207084),Garrett Temple,32207084,SG/SF/F/G/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,3.42
SF/PF,Otto Porter Jr. (32207089),Otto Porter Jr.,32207089,SF/PF/F/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,7.35
C,Christian Koloko (32207093),Christian Koloko,32207093,C/UTIL,3000,TOR@GSW 01/07/2024 08:30PM ET,TOR,0
